Target_ID,RA (deg),Dec (deg),Peak_Time_MJD,Redshift,Peak_Magnitude
ULTRASAT_SN_127,236.8767,54.559753,59257.867,0.12555,20.391453
ULTRASAT_SN_585,258.01663,65.580246,59241.54,0.11865,19.560513
ULTRASAT_SN_693,59.14863,-40.531837,59123.324,0.10845,19.041054
ULTRASAT_SN_694,47.3382,-49.378807,59147.066,0.07725,18.203249
ULTRASAT_SN_699,65.51503,-42.865475,59199.383,0.12555,19.605707
ULTRASAT_SN_1016,246.11238,53.885464,59195.266,0.12115,19.131437
ULTRASAT_SN_1051,245.05638,53.685047,59194.758,0.04265,17.253414
ULTRASAT_SN_1615,258.58615,61.188137,59282.895,0.11855,20.1393
ULTRASAT_SN_1750,252.69974,56.481464,59234.305,0.05355,17.799086
ULTRASAT_SN_2470,241.95862,53.228317,59342.176,0.11795,19.578966
ULTRASAT_SN_2476,239.89333,56.02446,59354.258,0.10785,19.230488
ULTRASAT_SN_2894,240.34256,61.51245,59306.33,0.12285,19.354904
ULTRASAT_SN_3025,50.259686,-43.37322,59115.414,0.07365,18.518545
ULTRASAT_SN_3200,62.316254,-53.09154,59130.617,0.11565,19.428259
ULTRASAT_SN_3325,59.38319,-46.16587,59077.043,0.10625,19.755919
ULTRASAT_SN_3382,47.863506,-46.795776,59141.88,0.09785,18.748865
ULTRASAT_SN_3481,61.692997,-47.804096,59015.62,0.12595,19.509443
ULTRASAT_SN_3616,55.38784,-41.16396,59038.582,0.07415,19.247208
ULTRASAT_SN_3821,47.53476,-43.85593,59142.84,0.11405,19.490408
ULTRASAT_SN_3872,255.94585,52.785538,59249.24,0.11815,19.20219
ULTRASAT_SN_4203,247.36018,56.048874,59345.105,0.10305,18.920383
ULTRASAT_SN_4293,237.84697,55.976097,59286.92,0.11575,19.51645
ULTRASAT_SN_4296,62.69862,-52.64955,59177.48,0.10075,19.99359
ULTRASAT_SN_4443,54.296055,-47.067074,59153.406,0.02215,15.636354
ULTRASAT_SN_4729,66.4101,-49.26971,59175.906,0.06395,17.762304
ULTRASAT_SN_4782,49.64736,-40.156853,59075.8,0.11285,19.734184
ULTRASAT_SN_4990,235.23857,65.57179,59173.516,0.08435,18.583471
ULTRASAT_SN_5028,59.300716,-40.490383,59229.777,0.08445,18.963634
ULTRASAT_SN_5304,250.71107,64.242714,59337.188,0.11415,20.744051
ULTRASAT_SN_5514,64.99337,-42.84582,59157.12,0.07045,18.526356
ULTRASAT_SN_5680,54.794456,-43.83961,59132.887,0.11255,19.305393
ULTRASAT_SN_5730,48.352062,-53.325928,59103.844,0.09855,18.61381
ULTRASAT_SN_6094,245.98839,64.285736,59236.97,0.03855,17.174805
ULTRASAT_SN_6246,65.71602,-45.27318,59075.992,0.11645,19.442738
ULTRASAT_SN_6293,245.18303,63.882683,59364.883,0.11745,19.147524
ULTRASAT_SN_6294,59.55745,-41.072456,59109.18,0.12175,21.112848
ULTRASAT_SN_6479,254.96313,54.46883,59204.69,0.11235,20.113272
ULTRASAT_SN_6509,61.86978,-42.411774,59110.508,0.09085,19.275602
ULTRASAT_SN_6887,53.046486,-39.611305,59029.707,0.10235,18.552624
ULTRASAT_SN_6968,236.18748,55.111965,59316.42,0.09565,19.63674
ULTRASAT_SN_6997,256.40393,59.968777,59211.2,0.07935,20.053156
ULTRASAT_SN_7078,261.6447,60.921787,59196.477,0.07875,18.462162
ULTRASAT_SN_7119,251.41908,56.090942,59222.242,0.11755,20.237076
ULTRASAT_SN_7257,48.09005,-46.21437,59146.008,0.12085,19.800537
ULTRASAT_SN_7436,251.52313,61.71167,59301.96,0.11675,19.36093
ULTRASAT_SN_7745,57.921997,-41.558136,59136.15,0.08645,18.416151
ULTRASAT_SN_7909,250.7593,62.035908,59172.918,0.08705,19.340244
ULTRASAT_SN_7987,49.404297,-48.18521,59005.805,0.03225,17.118704
ULTRASAT_SN_8094,252.6019,57.775436,59251.91,0.12385,19.719732
ULTRASAT_SN_8114,259.53543,61.61629,59308.523,0.11645,20.076757
ULTRASAT_SN_8233,241.6759,55.897125,59222.465,0.11655,19.544569
ULTRASAT_SN_8238,256.8112,65.688484,59344.926,0.07475,18.143536
ULTRASAT_SN_8428,251.39397,53.738403,59263.145,0.09465,19.211283
ULTRASAT_SN_8654,248.00348,60.915108,59305.598,0.10745,19.699823
ULTRASAT_SN_9101,259.82935,57.656803,59330.156,0.11865,19.993458
ULTRASAT_SN_9377,263.26093,66.17676,59334.258,0.08765,19.930738
ULTRASAT_SN_9440,263.5446,62.27608,59267.01,0.12845,20.018875
ULTRASAT_SN_9567,247.07018,60.711697,59299.203,0.09135,18.99171
