Target_ID,RA (deg),Dec (deg),Peak_Time_MJD,Redshift,Peak_Magnitude,Peak_Real_Time (UTC),MAST_Visible_Now,MAST_Visible_Future,SOXS_Visible_Now,SOXS_Visible_Future,WILDS_Visible_Now,WILDS_Visible_Future,MAST_Obs_Windows_48h,SOXS_Obs_Windows_48h,WILDS_Obs_Windows_48h
ULTRASAT_SN_127,236.8767,54.559753,59257.867,0.12555,20.391453,2021-02-12 20:48:28.800,False,False,False,False,False,False,"[(np.float64(2.0), np.float64(6.0)), (np.float64(26.0), np.float64(30.0))]",[],"[(np.float64(11.25), np.float64(16.0)), (np.float64(35.25), np.float64(39.75))]"
ULTRASAT_SN_585,258.01663,65.580246,59241.54,0.11865,19.560513,2021-01-27 12:57:36.000,False,False,False,False,True,True,"[(np.float64(12.0), np.float64(14.0)), (np.float64(36.0), np.float64(38.0))]",[],"[(np.float64(0.0), np.float64(0.0)), (np.float64(21.0), np.float64(24.0)), (np.float64(45.0), np.float64(48.0))]"
ULTRASAT_SN_693,59.14863,-40.531837,59123.324,0.10845,19.041054,2020-10-01 07:46:33.600,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(1.0)), (np.float64(19.25), np.float64(25.0)), (np.float64(43.25), np.float64(48.0))]",[]
ULTRASAT_SN_694,47.3382,-49.378807,59147.066,0.07725,18.203249,2020-10-25 01:35:02.400,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(6.75)), (np.float64(23.0), np.float64(30.75)), (np.float64(47.0), np.float64(48.0))]",[]
ULTRASAT_SN_699,65.51503,-42.865475,59199.383,0.12555,19.605707,2020-12-16 09:11:31.200,False,False,False,False,False,False,[],"[(np.float64(16.25), np.float64(22.75)), (np.float64(40.25), np.float64(46.75))]",[]
ULTRASAT_SN_1016,246.11238,53.885464,59195.266,0.12115,19.131437,2020-12-12 06:23:02.400,False,False,False,False,False,False,[],[],"[(np.float64(6.5), np.float64(6.5)), (np.float64(30.5), np.float64(30.5))]"
ULTRASAT_SN_1051,245.05638,53.685047,59194.758,0.04265,17.253414,2020-12-11 18:11:31.200,False,False,False,False,False,False,[],[],"[(np.float64(18.5), np.float64(18.5)), (np.float64(42.5), np.float64(42.5))]"
ULTRASAT_SN_1615,258.58615,61.188137,59282.895,0.11855,20.1393,2021-03-09 21:28:48.000,False,False,False,False,False,False,"[(np.float64(1.0), np.float64(5.0)), (np.float64(24.75), np.float64(29.0))]",[],"[(np.float64(10.25), np.float64(14.75)), (np.float64(34.0), np.float64(38.75))]"
ULTRASAT_SN_1750,252.69974,56.481464,59234.305,0.05355,17.799086,2021-01-20 07:19:12.000,False,False,False,False,False,False,"[(np.float64(18.0), np.float64(19.75)), (np.float64(42.0), np.float64(43.75))]",[],"[(np.float64(3.25), np.float64(5.5)), (np.float64(27.25), np.float64(29.5))]"
ULTRASAT_SN_2470,241.95862,53.228317,59342.176,0.11795,19.578966,2021-05-08 04:13:26.400,False,False,False,False,True,True,"[(np.float64(13.75), np.float64(21.0)), (np.float64(37.75), np.float64(45.0))]",[],"[(np.float64(0.0), np.float64(6.5)), (np.float64(23.75), np.float64(30.5)), (np.float64(47.75), np.float64(48.0))]"
ULTRASAT_SN_2476,239.89333,56.02446,59354.258,0.10785,19.230488,2021-05-20 06:11:31.200,False,False,False,False,True,True,"[(np.float64(12.0), np.float64(18.75)), (np.float64(36.0), np.float64(42.75))]",[],"[(np.float64(0.0), np.float64(4.25)), (np.float64(22.0), np.float64(28.25)), (np.float64(46.0), np.float64(48.0))]"
ULTRASAT_SN_2894,240.34256,61.51245,59306.33,0.12285,19.354904,2021-04-02 07:55:12.000,False,False,False,False,True,True,"[(np.float64(11.75), np.float64(18.0)), (np.float64(35.75), np.float64(42.0))]",[],"[(np.float64(0.0), np.float64(3.75)), (np.float64(21.0), np.float64(27.75)), (np.float64(44.75), np.float64(48.0))]"
ULTRASAT_SN_3025,50.259686,-43.37322,59115.414,0.07365,18.518545,2020-09-23 09:56:09.600,False,False,False,False,False,False,[],"[(np.float64(17.0), np.float64(23.0)), (np.float64(41.0), np.float64(47.0))]",[]
